,step,entity,name,id,model,dataset,subset,initial_model,project,exit_condition,metric,seed,train,dev,test,range_from,range_to
124,9,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9987100062110812,0.9503113483288854,0.922737896494157,12,13
125,10,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9991800211761521,0.9494257249825496,0.9238521089161771,1,2
126,11,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9990128174508399,0.9458635150590926,0.9200013349798084,5,6
127,12,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9990526156565215,0.9422696213040423,0.9117755629383536,4,5
128,13,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9992994634526899,0.9429286687581203,0.9172165566886622,9,10
129,14,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9993949333630558,0.9420382165605096,0.9138611873368583,2,3
130,15,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9994665817443574,0.9408218308741868,0.9120058662755818,7,8
131,16,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9991958918832848,0.9380779287035266,0.9080301760268231,2,3
132,17,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9993949622647518,0.9303887709514908,0.9014949279231179,1,2
133,18,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9989017111022682,0.9259622378949366,0.8929496976543292,4,5
134,19,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9991401958442798,0.917310443490701,0.8900317248288528,2,3
135,20,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9988538681948425,0.9085097629671826,0.8663698584623564,2,3
136,21,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9954756887846381,0.8750712701932215,0.8335104969439276,0,1
137,22,szegedai-semantics,earnest-snowflake-165,a1i6tfpy,bert-large-uncased,conll,ner,pfdf,recursive,max_depth,f1,42,0.9281554951207807,0.7748945831981835,0.7287510248701832,0,1
138,0,szegedai-semantics,firm-puddle-164,u6j839p2,bert-large-uncased,glue,rte,pfdf,recursive,max_depth,accuracy,42,0.9955823293172691,0.7608695652173914,0.7482014388489209,14,15
139,1,szegedai-semantics,firm-puddle-164,u6j839p2,bert-large-uncased,glue,rte,pfdf,recursive,max_depth,accuracy,42,0.9959839357429718,0.7681159420289855,0.6762589928057554,15,16
140,2,szegedai-semantics,firm-puddle-164,u6j839p2,bert-large-uncased,glue,rte,pfdf,recursive,max_depth,accuracy,42,0.9971887550200803,0.7681159420289855,0.6834532374100719,9,10
141,3,szegedai-semantics,firm-puddle-164,u6j839p2,bert-large-uncased,glue,rte,pfdf,recursive,max_depth,accuracy,42,0.9971887550200803,0.7608695652173914,0.6834532374100719,17,18
142,4,szegedai-semantics,firm-puddle-164,u6j839p2,bert-large-uncased,glue,rte,pfdf,recursive,max_depth,accuracy,42,0.9971887550200803,0.7753623188405797,0.7266187050359713,15,16
143,5,szegedai-semantics,firm-puddle-164,u6j839p2,bert-large-uncased,glue,rte,pfdf,recursive,max_depth,accuracy,42,0.9991967871485944,0.7898550724637681,0.6762589928057554,3,4
